店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
梅田快楽園,東梅田駅,大阪府大阪市北区兎我野町３丁目３−５,,,https://www.esthe-ranking.jp/osakakita/shop-detail/815cd837-ddd9-4177-9eb4-99acda2afbf1/,http://umedakai.refle.shop/,梅田プラザホテルの近くに着いたら、ご連絡ください,090-5989-5347,11:00～翌 03:00
香りアロマ,近鉄日本橋駅,近鉄日本橋駅 大阪府大阪市中央区日本橋１丁目１８−１４,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/a056a8cf-ca91-45b3-8759-8f675ba1576e/,http://kaori.xhh-tokyo.vip/,地図の位置に着きましたら、ご連絡ください。,080-2367-9717,10:30～翌 01:30
桜川店幸せだよ,桜川駅1番出口,大阪府大阪市浪速区桜川４丁目３−番２２号,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/caf265aa-f81e-4b46-a9f0-38d8f88ca605/,http://happy-koss.ika-111.site/,地図の位置に着きましたら、ご連絡ください。,070-8343-3225,11:30～翌 02:00
激安の恋基地,西田辺駅4番出口,"34.61913811222749, 135.5146382211911",34.61913811222749,135.5146382211911,https://www.esthe-ranking.jp/tanikyu/shop-detail/cc8ff35a-03c5-4807-84cc-6d0b1d89bdb1/,https://www.gekiyasukoi184.info/,付近でお電話を,090-7109-0560,24時間営業
CoCo,河内天美駅西口,"34.5851457125432, 135.53557574323",34.5851457125432,135.53557574323,https://www.esthe-ranking.jp/higashiosaka/shop-detail/3b1ba0a2-a392-43c0-8bda-2d04b5a7d346/,http://xn--vckg5a5c7c8c1czd.in.net/,河内天美駅西口徒歩2分,080-6862-5858,09:00～翌 03:00
明月,高槻駅きた西口,高槻市アジアンエステ,,,https://www.esthe-ranking.jp/esaka/shop-detail/325d16bb-640e-4729-9714-337dabcb073a/,https://www.jrtakatuki184.info/,アクセス欄に住所あり,090-3979-2472,11:00～24:00
極娘,なかもず駅北口,"34.55711951676344, 135.50425409039084",34.55711951676344,135.50425409039084,https://www.esthe-ranking.jp/sakai/shop-detail/5dd1dbc6-c873-4030-b3a3-43957151e60f/,https://gokugirls.estx.net/,なかもず駅北口徒歩2分,090-8703-5243,11:00～翌 02:00
さくら,堺駅南口,大阪府堺市堺区竜神橋町1-6-7,,,https://www.esthe-ranking.jp/sakai/shop-detail/5c640ac0-6ead-45a1-8df1-f83ff1adcf84/,https://sakura-relax.net/,堺駅南口徒歩1分,090-3496-0297,12:00～翌 02:00
隠れ空間（かくれくうかん）,蛍池駅,"34.797180392422504, 135.44892767604722",34.797180392422504,135.44892767604722,https://www.esthe-ranking.jp/esaka/shop-detail/5a88b80b-f130-4fea-9482-833356f6c6ee/,http://kakure.sh-qdr.tokyo/,蛍池駅徒歩3分,050-6871-0951,11:00～翌 02:00
ベトナムエンジェル,江坂駅5番出口,大阪府吹田市江坂町1丁目13−41,,,https://www.esthe-ranking.jp/esaka/shop-detail/de8bff2c-9b70-4450-b3a0-84a12ae8cb13/,http://angel-vv.aru-jp.wang/,大阪府吹田市江坂町1丁目13−41、に着きましたらご連絡ださい,080-1480-3504,11:00～LAST
萌え娘,西中島南方駅,"34.72493865480373, 135.50024918447096",34.72493865480373,135.50024918447096,https://www.esthe-ranking.jp/nishinakajima/shop-detail/d0f70b37-2db3-4bd6-8d7b-0d938a7b4213/,https://moe-massage.navi.mn/,アクセス欄に緯度経度と住所あり,080-2670-3134,10:00～翌 02:00
