"優先度","候補種別","駅グループ","同駅件数","店舗名","最寄駅","掲載URL","候補数","自動適用","保留理由","候補住所","緯度","経度","候補メモ"
"1","address","西中島南方駅","29","あんあん姫","西中島南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/22974aa8-225a-471f-9daa-642158650da4/","1","保留","座標なし","大阪府大阪市淀川区西中島4丁目6","","","アクセス欄に住所あり"
"2","address","土居駅・枚方市駅・京橋駅・萱島駅","2","Baby Face","土居駅・枚方市駅・京橋駅・萱島駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/615a38fd-4307-4ecb-a91a-28326ade48fc/","1","保留","複数駅表記","京橋駅 大阪府大阪市都島区東野田町２丁目１−３８","","","アクセス欄に住所あり"
"3","manual","西中島南方駅","29","48手","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/1782e1d5-da5b-46fa-9f6d-7a166274037e/","0","保留","候補なし","","","",""
"4","manual","西中島南方駅","29","New Changthai（ニューチャーンタイ）","西中島南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/07eade33-8f5c-4787-bafb-2e353295c9ad/","0","保留","候補なし","","","",""
"5","manual","西中島南方駅","29","Nico","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/94d3cade-d443-467a-a811-289ee347a78f/","0","保留","候補なし","","","",""
"6","manual","西中島南方駅","29","Pattaya （パッタヤ）","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/a30cd5f0-db26-4001-9c22-259f6b6530e7/","0","保留","候補なし","","","",""
"7","manual","西中島南方駅","29","Tonkoon（トンクーン）","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/18cc8fec-3a32-4ae3-bb4f-a47a39277f3a/","0","保留","候補なし","","","",""
"8","manual","西中島南方駅","29","オモチャ","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/d23cec9e-6c5b-426c-8a5b-5537e81fc3d3/","0","保留","候補なし","","","",""
"9","manual","西中島南方駅","29","カルナ","西中島南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/a421d4c7-fc92-45f5-b9dd-0a83a7204967/","0","保留","候補なし","","","",""
"10","manual","西中島南方駅","29","きもちすぎて滅","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/2d2b567a-0b54-49f5-b4c3-df9a55d7ded9/","0","保留","候補なし","","","",""
"11","manual","西中島南方駅","29","サバイサバイ","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/0ab7acfe-dc11-44e9-987d-3bbc795e730c/","0","保留","候補なし","","","",""
"12","manual","西中島南方駅","29","シーバス","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/c46844bf-9653-4171-b1cd-b4626ee0db59/","0","保留","候補なし","","","",""
"13","manual","西中島南方駅","29","スイートガール","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/f013b423-6d06-4e87-aa60-93daa35f6857/","0","保留","候補なし","","","",""
"14","manual","西中島南方駅","29","タイヘブン","西中島南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/f26847ad-cd01-4700-87d1-fad0b0bae220/","0","保留","候補なし","","","",""
"15","manual","西中島南方駅","29","タイ古式マッサージ アノナ","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/57077ed7-c001-4e1f-ae2f-7bfabb5cd3f6/","0","保留","候補なし","","","",""
"16","manual","西中島南方駅","29","ナーンナッチャ","西中島南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/084f6504-8457-4756-9ed9-00d463cd7cba/","0","保留","候補なし","","","",""
"17","manual","西中島南方駅","29","にゅるリンパ","西中島南方駅2番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/7402eef1-3ab4-401a-bb61-e2da86f46918/","0","保留","候補なし","","","",""
"18","manual","西中島南方駅","29","ハッピー","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/ee07984e-8144-4456-9d41-9d4771e56e3e/","0","保留","候補なし","","","",""
"19","manual","西中島南方駅","29","バビューン目！","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/9e422b81-98cf-49e3-b7bd-9126d69fb992/","0","保留","候補なし","","","",""
