店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
錦糸町ハニー,錦糸町駅,東京都墨田区江東橋３丁目１０−７,,,https://www.esthe-ranking.jp/kinshicho/shop-detail/1fe31c90-1c8d-4cd5-9920-2c728b4ce618/,http://kinosato-honey.menzu-jdi.sbs/,地図の位置に着きましたら、ご連絡ください。,070-9121-6197,12:00～翌 02:00
New Face（ニューフェイス）,町屋駅,東京都,,,https://www.esthe-ranking.jp/nippori/shop-detail/8ca44ce8-7849-43ba-bc10-f1f069aac7c7/,http://new-face.sh-rjb.tokyo/,アクセス欄に住所あり,080-9893-1545,13:00～翌 01:00
cocoa（ココア）,武蔵小金井駅南口,武蔵小金井駅,,,https://www.esthe-ranking.jp/kichijoji/shop-detail/e58effd7-5a24-4129-b58f-a1f322fdef2c/,http://cocoa.menzu-apo.sbs/,武蔵小金井南口 に着きましたら、ご連絡ください。,090-9377-4376,12:00～翌 02:00
お帰り部屋,武蔵小金井駅,"35.700885674966486, 139.50639750306493",35.700885674966486,139.50639750306493,https://www.esthe-ranking.jp/kichijoji/shop-detail/b97df59e-03e4-4b76-bf7c-4bcce7f1f6b4/,https://mori-mori.navi.mn/,アクセス欄に緯度経度と住所あり,090-7044-7229,12:00～翌 02:00
もえ娘,荻窪駅西口,荻窪駅,,,https://www.esthe-ranking.jp/ogikubo/shop-detail/0c93dad9-26c0-468d-8fb0-28f6233ce132/,http://moemusume.este88.com/,荻窪駅西口から徒歩3分、荻窪駅西口着いたら、お電話ください、スタッフより詳しく案内致します。,090-7649-2247,12:00～翌 03:00
桜（サクラ）,千歳烏山駅南口,東京都,,,https://www.esthe-ranking.jp/chofu/shop-detail/c1a105f6-0f3e-4280-8dcf-1a50e54573b2/,http://sakura.iyasi.me/,アクセス欄に住所あり,090-4960-0522,12:00～翌 02:00
ほぼ100%,千歳烏山駅北口,東京都,,,https://www.esthe-ranking.jp/chofu/shop-detail/31a35c57-2b21-47aa-808c-4c6197b3dc3e/,https://hobo100per.jpn.vin/,千歳烏山駅北口徒歩3分,050-6860-7359,12:00～翌 02:00
Dear dolls（ディアドールズ）,荻窪駅,荻窪駅,,,https://www.esthe-ranking.jp/ogikubo/shop-detail/5343dee3-5df0-4942-a7b6-6080cbf29252/,http://bad-kitty.xin-olpi.online/,荻窪駅に着きましたら、ご連絡ください。,090-1200-1008,12:00～翌 02:00
桜園（さくらえん）,葛西駅,東京都,,,https://www.esthe-ranking.jp/kasai/shop-detail/91321f64-2a09-4f67-81d8-ba7f693a251b/,http://oen.sh-dlq2.tokyo/?about_8/,葛西駅徒歩2分,050-6863-2176,11:00～翌 02:00
楽園,聖蹟桜ヶ丘駅東口,東京都,,,https://www.esthe-ranking.jp/fuchu/shop-detail/f65984b8-af3b-4b61-8803-d4dc9d27440d/,http://www.rakuen.mensest.com/,聖蹟桜ヶ丘駅東口徒歩4分,070-4291-8269,12:00～LAST
