店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
新宿極上メンズエステ,新宿駅東口,東京都新宿区歌舞伎町1-3-16,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/4efbad4e-81f1-433f-9d34-d9718e73dd59/,https://gokujo.iest.info/,新宿駅東口徒歩3分,070-4023-8856,24時間営業
新宿南口メンズエステ,新宿駅南口,東京都渋谷区代々木2-7-6,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/cb9301a5-ea07-4b38-ab00-127123fe644a/,https://aroma.tyo.cm/,新宿駅南口徒歩2分,080-4439-9988,24時間営業
Julian-ジュリアン-,新宿駅東南口,東京都新宿区新宿3-32-2,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/84efc43b-1ffa-4a29-a9d8-5e108747bf84/,https://mens-esthe.xyz/,新宿駅東南口徒歩3分,090-3503-1122,12:00～翌 06:00
歌舞伎蝶,新宿駅東口,東京都新宿区歌舞伎町1-2-17,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/e3cb01d0-6382-4d3a-9db8-9e6ed000d908/,https://www.kabuki-es.com/,アクセス欄に住所あり,03-5273-5133,24時間営業
癒し空間,新宿駅東口,東京都新宿区歌舞伎町２丁目３９−１２,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/3561f02c-fce9-4aa6-a235-cef8263cbf3a/,https://kirakirahoshi.ies.fun/,新宿駅東口徒歩5分,070-6973-7788,12:00～LAST
月の癒し,新宿駅西口,東京都新宿区西新宿7-5-5,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/9c7b0397-5f8d-453f-b329-c673e8c11959/,http://oyiran.work/,新宿駅西口徒歩6分,090-6302-1818,12:00～LAST
ユキ,新宿駅西口,東京都新宿区西新宿7丁目10-14,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/b1673c28-66f3-4307-9a29-8f9eb88818c9/,https://hi-msg.com/yuri419/,新宿駅西口徒歩2分,03-6876-4649,24時間営業
Aroma Angel（アロマエンジェル）,新宿三丁目駅E1出口3分,東京都新宿区歌舞伎町2-8-3,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/a0fbea2c-1060-46eb-bf8c-cf48b94dbe42/,https://shinjuku-mensesthe.jp/,お車でお越しの場合は付近にパーキングが多数ございます。,080-5978-8666,12:00～LAST
New Face,東新宿駅A1出口,東新宿駅,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/a6327aee-ee87-4a71-8bc6-7017a2d57cf0/,https://hi-msg.com/newface/,東新宿駅A1出口徒歩2分,070-8979-6677,10:00～LAST
ELISE（エリーゼ）,新宿駅東口,東京都新宿区歌舞伎町1-2-19,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/69cf51a9-b048-4ac2-a1d7-d681af65d1c2/,https://shinjuku-esthe.net/,お車でお越しの場合は付近にパーキングが多数ございます。,090-8439-9888,12:00～LAST
Sweet（スウィート）,西新宿駅E8出口,東京都新宿区西新宿7-16-10,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/fdc9e98d-5468-4327-8c35-6e94eaef3e3e/,http://sweety-est.tokyo/,JR「新宿駅」西口徒歩7分,070-3766-3838,12:00～LAST
Aroma Forest（アロマフォレスト）,新宿駅西口,東京都新宿区西新宿７丁目９−１５,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/15b24c36-5900-4ee9-926a-98c55ef8387b/,http://angel-aroma.net/,新宿駅西口徒歩3分,080-2358-6688,24時間営業
Lani（ラニ）,新宿御苑前駅1番出口,"35.68864655697762, 139.70938102281914",35.68864655697762,139.70938102281914,https://www.esthe-ranking.jp/shinjuku/shop-detail/28a22c74-1553-4dcc-a420-f4f36d529c3f/,https://lani3-pink.iest.in/,新宿御苑前駅1番出口徒歩1分,080-8431-7861,10:00～翌 03:00
森,新宿御苑前駅,東京都新宿区四谷4丁目28-6,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/7b55886d-24f9-49a8-a043-63fe267c0c37/,http://frost.sh-paq.tokyo/,【新宿御苑前駅2番出口・四谷三丁目駅2番出口】,03-5925-8398,11:00～LAST
エンジェル,新宿駅南口,"35.68788764298303, 139.69949217484893",35.68788764298303,139.69949217484893,https://www.esthe-ranking.jp/shinjuku/shop-detail/85d16180-1073-4dea-bb59-26a64a4557c5/,http://gnjrh.ndj-esute.asia/,新宿駅南口徒歩2分,080-9892-8899,11:00～翌 05:00
DEAR,新宿駅南口,東京都渋谷区代々木２丁目１６−１４,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/8aae0f50-5458-4d58-9086-738b779a48c8/,https://est1.info/dear/,新宿駅南口徒歩3分,080-1170-8505,11:00～LAST
