"店舗名","最寄駅","掲載URL","公式HP","取得先URL","HTTP","地図数","判定","理由","地図ラベル","緯度","経度","駅緯度","駅経度","駅からの距離m"
"cream spa（クリームスパ）","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/1dbcb4cb-9b4c-427f-81dd-dbd2d5d1d93c/","https://smileriraku.wixsite.com/website-7","https://smileriraku.wixsite.com/website-7","200","0","hold","座標候補なし","","","","","",""
"Fresh Salon（フレッシュ・サロン）","蒲田駅","https://www.esthe-ranking.jp/kamata/shop-detail/62b3ccf6-3ad6-459b-bf01-746b74a2b62f/","http://sh-fsa.rfdw.xyz/","http://sh-fsa.rfdw.xyz/","403","0","hold","座標候補なし","","","","","",""
"Infinity","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/b68d6b3b-c6c7-4201-bdba-2bfe9ed96175/","http://infinity.sh-gix.tokyo/","http://infinity.sh-gix.tokyo/","403","0","hold","座標候補なし","","","","","",""
"Princess","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/25e6adcd-2e68-432d-9bf8-317a48543e0f/","http://www.es-princess.com/","http://www.es-princess.com/","200","0","hold","座標候補なし","","","","","",""
"Sofia（ソフィア）","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/c5e7b3e0-7ce6-467e-82d1-bc8b1b1489a6/","http://sofia-esthe.ever.jp/","http://sofia-esthe.ever.jp/","200","0","hold","座標候補なし","","","","","",""
"ココシア","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/806a046e-d825-40c1-8cf4-371f77a9dd10/","https://utopia.est.cm/","https://utopia.est.cm/","200","0","hold","座標候補なし","","","","","",""
"スキップビート","蒲田駅南口","https://www.esthe-ranking.jp/kamata/shop-detail/728e0962-f567-4030-9cd7-21c06a13e980/","http://skip.sh-nqy.tokyo/","http://skip.sh-nqy.tokyo/","200","0","hold","座標候補なし","","","","","",""
"すずらん","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/350d3dab-69f2-404d-9a1e-15403e86b689/","http://www.alice.relaxmens.com/","http://www.alice.relaxmens.com/","200","0","hold","座標候補なし","","","","","",""
"ハピネス","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/55901f1d-2fa8-4704-8e72-d335795eb58f/","https://happy.chinagirl.work/","https://happy.chinagirl.work/","200","1","hold","経路地図または複数地点","","","","","",""
"もちもち娘","蒲田駅","https://www.esthe-ranking.jp/kamata/shop-detail/ded9e8af-ae08-4c19-a7c2-a19052b051f6/","https://chewy-girl.iest.in/","https://chewy-girl.iest.in/","200","0","hold","座標候補なし","","","","","",""
"ゆるり","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/b95802d6-3d44-4736-abd7-7303d676945e/","https://yururi-kmt.iest.in/","https://yururi-kmt.iest.in/","200","0","hold","座標候補なし","","","","","",""
"ルージュ","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/dbe439a7-beca-4657-83bc-0d0560fcbce2/","http://rouge.sh-phn.tokyo/","http://rouge.sh-phn.tokyo/","403","0","hold","座標候補なし","","","","","",""
"ロリポップ","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/924a5a0e-0ebd-44d9-8429-4fd7d7f3ff2e/","http://roripopu.tank.jp/","https://roripopu.tank.jp/","200","0","hold","座標候補なし","","","","","",""
