店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
萌え萌えキュン,六名駅,"34.92988465244137, 137.14244013493024",34.92988465244137,137.14244013493024,https://www.esthe-ranking.jp/toyota/shop-detail/711a827b-0c26-4be8-9169-a63e77191167/,https://moemoekyun.bdd.jp/,岡崎市のリラクゼーション【萌え萌えキュン】です♪ 六名駅から近くてアクセス抜群！,080-5298-7732,13:00～LAST
イタズラなKISS,春日井駅,"35.245817, 136.986508",35.245817,136.986508,https://www.esthe-ranking.jp/komaki/shop-detail/2b284479-7caf-440a-a971-7960d65afe9d/,https://itazuranakiss.bdd.jp/,駐車場 有り（※共有の駐車場）,090-7922-2563,12:00～LAST
楽楽,栄生駅南改札口,愛知県名古屋市西区則武新町4－1－41,,,https://www.esthe-ranking.jp/nagoya/shop-detail/18b453f1-97a4-4a1d-bd18-e982e5eb9222/,https://misaki.oos.jp/,栄生駅南改札口徒歩3分 名駅徒歩10分亀島駅徒歩5分名古屋駅→栄生バス停5分,080-8235-1947,11:00～LAST
ねこりん,甚目寺駅,"35.196146643111895, 136.82535995978185",35.196146643111895,136.82535995978185,https://www.esthe-ranking.jp/owari/shop-detail/a20ab03c-03f8-460c-8f56-c778e83cdcc8/,https://nekorin.eei.jp/,【名鉄協商パーキング 甚目寺駅前】に着きましたらお電話ください,050-6860-8421,11:00～LAST
微妙な彼女,高畑駅,"35.13903190330136, 136.85374600000003",35.13903190330136,136.85374600000003,https://www.esthe-ranking.jp/tokaidori/shop-detail/759c04c2-f967-4e9b-ac98-7cfce66e0905/,https://bimyounakanojo.eei.jp/,アクセス欄に緯度経度と住所あり,090-5249-3976,24時間営業
紅花,新豊橋駅,"34.76768, 137.363428",34.76768,137.363428,https://www.esthe-ranking.jp/toyohashi/shop-detail/63991ebb-03c0-4f6d-ac2d-c568f36a7322/,https://benihana.eei.jp/,つり具の上州屋豊橋小向店 に着きましたらお電話ください。,080-9725-1717,12:00～翌 02:00
たっぷり愛して,青山駅,青山駅 愛知県,,,https://www.esthe-ranking.jp/chita/shop-detail/4e089203-c5fa-436c-b2e3-b69c587b3a40/,https://fully-love.navi.mn/,アクセス欄に住所あり,080-2504-7647,10:00～翌 02:00
甘い誘惑,前後駅,愛知県豊明市前後町大狭間１４４７−１１,,,https://www.esthe-ranking.jp/komaki/shop-detail/078baad3-eaac-4a0c-9aee-aaa85c31d3c2/,http://amai.refle.shop/,（豊明榎山店ファミリーマートの近くに着いたら、ご連絡ください）,050-6882-8292,11:00～翌 03:00
HAPPY GIRL（ハッピーガール）,三河八橋駅,愛知・豊田市駒場町向金 リラクゼーション,,,https://www.esthe-ranking.jp/toyota/shop-detail/2092580f-65f0-49d9-9a7f-cfb97c04bd6c/,https://happygirl.eev.jp/,アクセス欄に住所あり,090-6352-8187,12:00～LAST
癒の森,豊田市駅,豊田市美里にある本格中国リラクゼーションのお店,,,https://www.esthe-ranking.jp/toyota/shop-detail/65fec6e2-162a-4535-ad66-2c56b953856f/,https://iyashimori.eei.jp/,アクセス欄に住所あり,090-6516-0790,10:00～LAST(最終受付：翌1:30)
