store_name,branch_or_room,nearest_station,address_or_coordinates,latitude,longitude,listing_url,notes
Venus（ヴィーナス）,main,新豊田駅,愛知県豊田市月見町2丁目,35.08966609737432,137.15271700004575,https://www.esthe-ranking.jp/toyota/shop-detail/f8f157a5-2920-4e14-b681-70d8db284681/,"アクセス欄に緯度経度と町名あり"
anan,main,豊田市駅,愛知県豊田市喜多町1丁目140,35.08845042912103,137.15767150358067,https://www.esthe-ranking.jp/toyota/shop-detail/ee8aebb5-d550-4481-811b-d4d40653608a/,"アクセス欄に緯度経度と住所あり"
Second House（セカンドハウス）,main,豊田駅,愛知県豊田市下市場町6丁目60-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/0ff4209c-d3de-457a-bc7a-315b2c736358/,"ウエルシア豊田下市場町店が目印"
ラッキー,main,新豊田駅,愛知県豊田市三軒町8丁目22-1 山口ビル 2C,,,https://www.esthe-ranking.jp/toyota/shop-detail/8677e8ef-9a27-4386-9b49-709e5e5b5be4/,"駐車場あり"
美人楽園,main,豊田市駅,豊田市駅,,,https://www.esthe-ranking.jp/toyota/shop-detail/860f971a-00aa-4a24-8a78-687421be419d/,"アクセス欄は駅名のみ"
癒し健康園,main,富士松駅,"35.028842095788754, 137.0123079817143",35.028842095788754,137.0123079817143,https://www.esthe-ranking.jp/toyota/shop-detail/8875edfa-a4f7-4743-ad73-1cb91b9ce3fa/,"アクセス欄は緯度経度のみ"
甘い恋人,北安城駅ルーム,北安城駅,愛知県安城市大東町17-20,,,https://www.esthe-ranking.jp/toyota/shop-detail/152e1b88-fb9e-4f4a-8dbe-728aa74e0db1/,"ゲオ付近"
甘い恋人,大門駅ルーム,大門駅,"34.9781479279057, 137.14097085279528",34.9781479279057,137.14097085279528,https://www.esthe-ranking.jp/toyota/shop-detail/152e1b88-fb9e-4f4a-8dbe-728aa74e0db1/,"ドン・キホーテ付近"
甘い恋人,上挙母駅ルーム,上挙母駅,"35.06757952359149, 137.1606206855235",35.06757952359149,137.1606206855235,https://www.esthe-ranking.jp/toyota/shop-detail/152e1b88-fb9e-4f4a-8dbe-728aa74e0db1/,"ZENT付近"
甘い恋人,富士松駅ルーム,富士松駅,愛知県刈谷市今川町山ノ神158-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/152e1b88-fb9e-4f4a-8dbe-728aa74e0db1/,"ミニストップ付近"
