店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
Venus（ヴィーナス）,新豊田駅,"35.022267, 136.988202",35.022267,136.988202,https://www.esthe-ranking.jp/chita/shop-detail/a8a56ae9-9932-43e6-afc4-de52b15c7a22/,https://venus.bdd.jp/,駐車場 駐車場あります。（正面と横にございます）,080-6988-0213,13:00～翌 03:00
anan,豊田市駅,愛知県半田市岩滑中町３丁目４３,35.08845042912103,137.15767150358067,https://www.esthe-ranking.jp/chita/shop-detail/1ad45cd0-ecf9-4df1-bd9d-09b3c489db4c/,http://anan.xin-ijki.online/,半田口駅に着きましたら、ご連絡ください。,070-1627-5527,24時間営業
Second House（セカンドハウス）,豊田駅,愛知県豊田市下市場町６丁目60−１,,,https://www.esthe-ranking.jp/toyota/shop-detail/0ff4209c-d3de-457a-bc7a-315b2c736358/,https://secondhouse.iest.in/,駐車場あります。,090-6097-3920,24時間営業
ラッキー,新豊田駅,"35.248526, 136.977124",35.248526,136.977124,https://www.esthe-ranking.jp/komaki/shop-detail/7cd9ac35-7ec0-47b6-9a7a-10348f048afd/,https://lip.bdd.jp/,【ヤマナカ鳥居松店】の近く,070-2100-6868,24時間営業
美人楽園,豊田市駅,豊田市駅,,,https://www.esthe-ranking.jp/toyota/shop-detail/860f971a-00aa-4a24-8a78-687421be419d/,https://yumemakuraa.navi.mn/,六本木・麻布十番,050-6878-0783,12:00～LAST
～豊田来来～おいでん,貝津駅,愛知県豊田市貝津町鉄炮迫27-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/821e3ffa-97d6-4696-b4ad-563dc44e1c77/,https://oiden.eei.jp/,六本木・麻布十番,090-4855-0079,13:00～LAST
豊田ラグタイム,末野原駅,"35.040088, 137.135828",35.040088,137.135828,https://www.esthe-ranking.jp/toyota/shop-detail/45493521-bf34-405b-8ca8-7c2ba5b42b7c/,https://toyotarugtime.rrp.jp/,ローソン豊田永覚新町店すぐ近く,080-9721-1460,10:30～翌 02:00(最終受付：翌1:30)
シルク,末野原駅,愛知県豊田市鴛鴨町長根50-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/841ab4be-9d1e-429d-9522-06d48cdc0b9e/,https://shiruku.eeq.jp/,豊田東IC近く 豊田・岡崎248号線の通り道,090-9565-8509,24時間営業
ピンクラブ,上挙母駅,"35.070273, 137.151581",35.070273,137.151581,https://www.esthe-ranking.jp/toyota/shop-detail/75ca238d-04bb-4a35-b976-a6a8d45c7f60/,https://pinklove.eei.jp/,★新人エステシャン多数入替えリニューアル★豊田市・上挙母駅近く【ピンクラブ】です★,070-1634-1112,12:00～翌 03:00
女神のエステ,新豊田駅,愛知県豊田市小坂本町１丁目７−２,,,https://www.esthe-ranking.jp/toyota/shop-detail/5000c952-6070-4fcc-9417-8f8bc38d0b45/,https://beauty-goddess.navi.mn/,六本木・麻布十番,080-7064-9207,24時間営業
